region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
TODAS,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ANTOF,media,Insuficiente,55.50%,69.90%,45.50%,17.20%,55.50%,55.50%,64.30%,55.50%,77.80%,70.50%,53.10%,40.00%,17.00%,55.50%,51.80%,59.40%,55.40%,55.50%,53.60%,55.50%,52.20%,69.40%,55.50%,53.30%,87.20%
ANTOF,media,Elemental,29.10%,23.70%,35.60%,30.00%,29.10%,29.10%,35.70%,29.10%,19.40%,23.60%,35.10%,37.10%,30.30%,29.10%,30.40%,27.70%,29.10%,28.90%,32.10%,29.10%,30.50%,23.00%,29.10%,30.30%,11.80%
ANTOF,media,Adecuado,15.40%,6.40%,18.90%,52.80%,15.40%,15.40%,0.00%,15.40%,2.80%,5.90%,11.80%,22.90%,52.70%,15.40%,17.80%,12.80%,15.50%,15.50%,14.30%,15.40%,17.30%,7.60%,15.40%,16.40%,1.00%
ANTOF,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ARAUC,media,Insuficiente,56.10%,61.80%,54.40%,15.40%,56.10%,55.30%,73.20%,56.10%,71.10%,55.50%,47.60%,38.10%,14.90%,56.10%,53.00%,59.40%,56.10%,51.90%,65.30%,56.10%,56.20%,48.70%,56.10%,52.50%,88.00%
ARAUC,media,Elemental,31.00%,28.20%,32.70%,37.10%,31.00%,31.40%,22.40%,31.00%,24.20%,33.30%,36.50%,38.20%,35.20%,31.00%,32.30%,29.60%,31.00%,32.70%,27.40%,31.00%,30.90%,37.00%,31.00%,33.30%,10.60%
ARAUC,media,Adecuado,12.90%,10.00%,13.00%,47.50%,12.90%,13.30%,4.50%,12.90%,4.70%,11.30%,15.90%,23.80%,49.80%,12.90%,14.70%,11.00%,12.90%,15.50%,7.30%,12.90%,12.90%,14.30%,12.90%,14.20%,1.40%
ARAUC,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ATCMA,media,Insuficiente,55.40%,60.00%,59.20%,12.10%,55.40%,55.80%,28.10%,55.40%,75.00%,65.60%,60.40%,43.30%,12.10%,55.40%,52.40%,58.80%,55.40%,55.00%,61.00%,55.40%,55.20%,62.10%,55.40%,53.50%,89.60%
ATCMA,media,Elemental,29.00%,27.90%,29.20%,31.90%,29.00%,28.70%,53.10%,29.00%,21.20%,25.80%,27.20%,37.40%,31.90%,29.00%,30.40%,27.40%,29.00%,29.00%,29.10%,29.00%,29.10%,25.30%,29.00%,30.10%,9.60%
ATCMA,media,Adecuado,15.60%,12.10%,11.70%,56.00%,15.60%,15.60%,18.80%,15.60%,3.80%,8.60%,12.40%,19.20%,56.00%,15.60%,17.20%,13.80%,15.60%,16.00%,9.90%,15.60%,15.70%,12.60%,15.60%,16.40%,0.80%
ATCMA,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYP,media,Insuficiente,47.20%,57.50%,43.20%,22.20%,47.20%,46.20%,75.30%,47.20%,74.10%,67.10%,39.30%,35.00%,22.20%,47.20%,44.00%,50.60%,47.20%,46.90%,48.00%,47.20%,45.80%,57.50%,47.20%,45.10%,79.60%
AYP,media,Elemental,32.10%,29.20%,33.40%,38.10%,32.10%,32.50%,20.00%,32.10%,21.50%,28.10%,34.50%,36.30%,38.10%,32.10%,33.10%,31.10%,32.10%,32.40%,31.30%,32.10%,33.00%,25.20%,32.10%,33.10%,17.20%
AYP,media,Adecuado,20.70%,13.40%,23.40%,39.70%,20.70%,21.20%,4.70%,20.70%,4.40%,4.80%,26.20%,28.60%,39.70%,20.70%,22.90%,18.30%,20.70%,20.70%,20.70%,20.70%,21.10%,17.30%,20.70%,21.80%,3.20%
AYP,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
AYSEN,media,Insuficiente,50.80%,64.50%,43.80%,0.00%,50.80%,49.80%,57.60%,50.80%,77.60%,59.50%,46.20%,28.80%,20.50%,50.80%,48.30%,53.70%,50.80%,49.50%,56.90%,50.80%,50.70%,55.60%,50.80%,46.60%,82.70%
AYSEN,media,Elemental,32.10%,26.90%,34.80%,0.00%,32.10%,32.60%,28.80%,32.10%,19.40%,30.00%,36.30%,41.00%,31.80%,32.10%,30.70%,33.80%,32.10%,32.90%,28.40%,32.10%,32.20%,27.80%,32.10%,34.50%,14.30%
AYSEN,media,Adecuado,17.10%,8.60%,21.40%,0.00%,17.10%,17.60%,13.70%,17.10%,3.00%,10.50%,17.60%,30.30%,47.70%,17.10%,21.00%,12.50%,17.10%,17.60%,14.70%,17.10%,17.10%,16.70%,17.10%,18.90%,3.00%
AYSEN,media,Total,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
BBIO,media,Insuficiente,51.20%,64.90%,46.00%,15.00%,51.20%,50.50%,70.50%,51.20%,72.20%,60.00%,49.20%,33.20%,14.50%,51.20%,48.10%,54.50%,51.20%,50.40%,64.10%,51.20%,51.10%,55.60%,51.20%,47.60%,80.50%
BBIO,media,Elemental,31.40%,27.00%,34.40%,33.40%,31.40%,31.70%,23.60%,31.40%,23.40%,30.40%,34.30%,38.00%,33.50%,31.40%,31.60%,31.10%,31.40%,31.70%,26.50%,31.40%,31.30%,32.90%,31.40%,33.20%,16.60%
BBIO,media,Adecuado,17.40%,8.10%,19.60%,51.50%,17.40%,17.80%,5.90%,17.40%,4.30%,9.60%,16.50%,28.80%,52.00%,17.40%,20.30%,14.40%,17.40%,17.90%,9.40%,17.40%,17.60%,11.50%,17.40%,19.20%,2.90%
BBIO,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
COQ,media,Insuficiente,51.90%,64.50%,49.40%,17.10%,51.90%,51.80%,56.00%,51.90%,70.90%,63.00%,50.00%,35.90%,15.80%,51.90%,49.20%,54.70%,52.10%,52.00%,54.70%,51.90%,51.40%,63.90%,51.90%,48.50%,81.40%
COQ,media,Elemental,32.20%,27.20%,34.80%,36.20%,32.20%,32.20%,31.10%,32.20%,25.40%,27.70%,33.60%,41.90%,36.00%,32.20%,32.40%,32.00%,32.30%,32.20%,34.10%,32.20%,32.40%,26.80%,32.20%,33.90%,17.00%
COQ,media,Adecuado,15.90%,8.20%,15.90%,46.70%,15.90%,15.90%,13.00%,15.90%,3.80%,9.30%,16.40%,22.20%,48.20%,15.90%,18.40%,13.30%,15.70%,15.80%,11.20%,15.90%,16.20%,9.30%,15.90%,17.50%,1.60%
COQ,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
LAGOS,media,Insuficiente,54.90%,66.60%,50.40%,9.30%,54.90%,54.70%,57.20%,54.90%,69.70%,63.10%,48.00%,39.50%,11.40%,54.90%,51.60%,58.20%,54.90%,51.50%,66.50%,54.90%,54.60%,64.70%,54.90%,51.50%,85.20%
LAGOS,media,Elemental,30.50%,26.80%,34.00%,32.40%,30.50%,30.60%,30.10%,30.50%,25.10%,29.10%,35.20%,38.00%,34.20%,30.50%,31.80%,29.30%,30.60%,31.80%,26.20%,30.50%,30.60%,25.90%,30.50%,32.40%,14.00%
LAGOS,media,Adecuado,14.60%,6.70%,15.60%,58.30%,14.60%,14.80%,12.70%,14.60%,5.30%,7.80%,16.70%,22.50%,54.40%,14.60%,16.70%,12.50%,14.60%,16.70%,7.30%,14.60%,14.70%,9.50%,14.60%,16.10%,0.80%
LAGOS,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
LGBO,media,Insuficiente,53.50%,63.20%,50.10%,14.70%,53.50%,52.90%,68.40%,53.50%,71.30%,59.20%,46.00%,36.00%,14.70%,53.50%,50.60%,56.50%,53.50%,53.30%,64.80%,53.50%,53.30%,60.00%,53.50%,50.90%,85.30%
LGBO,media,Elemental,30.00%,28.60%,32.10%,25.30%,30.00%,30.20%,25.60%,30.00%,23.90%,30.90%,34.20%,37.60%,25.30%,30.00%,30.60%,29.50%,30.10%,30.10%,28.60%,30.10%,30.00%,30.60%,30.10%,31.50%,12.00%
LGBO,media,Adecuado,16.40%,8.20%,17.80%,60.10%,16.40%,16.90%,6.10%,16.40%,4.80%,9.90%,19.80%,26.30%,60.10%,16.40%,18.80%,14.00%,16.40%,16.70%,6.60%,16.40%,16.70%,9.40%,16.40%,17.60%,2.70%
LGBO,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MAG,media,Insuficiente,51.90%,69.10%,43.30%,18.70%,51.90%,51.90%,0.00%,51.90%,83.80%,72.60%,63.10%,31.60%,19.40%,51.90%,50.50%,53.40%,51.80%,49.20%,65.30%,51.90%,51.20%,64.70%,51.90%,48.40%,86.20%
MAG,media,Elemental,31.00%,23.80%,38.10%,33.00%,31.00%,31.00%,0.00%,31.00%,14.60%,22.90%,29.90%,44.10%,31.50%,31.00%,32.60%,29.40%,31.10%,31.90%,26.90%,31.10%,31.20%,28.20%,31.10%,32.90%,13.20%
MAG,media,Adecuado,17.00%,7.00%,18.60%,48.30%,17.00%,17.00%,0.00%,17.00%,1.50%,4.50%,7.00%,24.30%,49.20%,17.00%,16.80%,17.20%,17.10%,18.90%,7.70%,17.00%,17.60%,7.10%,17.00%,18.70%,0.70%
MAG,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
MAULE,media,Insuficiente,50.70%,61.10%,45.50%,11.70%,50.70%,50.30%,60.00%,50.70%,65.00%,56.40%,42.10%,25.70%,11.70%,50.70%,48.10%,53.40%,50.70%,50.70%,53.70%,50.70%,50.50%,59.70%,50.70%,47.90%,80.60%
MAULE,media,Elemental,31.30%,27.80%,34.90%,26.60%,31.30%,31.40%,30.60%,31.30%,26.60%,29.80%,37.20%,40.10%,26.60%,31.30%,32.40%,30.30%,31.40%,31.30%,35.70%,31.40%,31.50%,27.00%,31.40%,32.80%,16.70%
MAULE,media,Adecuado,17.90%,11.10%,19.60%,61.70%,17.90%,18.30%,9.40%,17.90%,8.40%,13.80%,20.70%,34.20%,61.70%,17.90%,19.50%,16.30%,17.90%,18.10%,10.70%,17.90%,18.10%,13.30%,17.90%,19.40%,2.70%
MAULE,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
NUBLE,media,Insuficiente,48.90%,54.80%,46.10%,1.80%,48.90%,48.80%,50.60%,48.90%,65.50%,56.40%,38.50%,30.80%,23.00%,48.90%,47.80%,50.10%,48.90%,48.80%,53.70%,48.90%,49.00%,43.00%,48.90%,44.80%,79.40%
NUBLE,media,Elemental,33.80%,30.10%,36.00%,36.40%,33.80%,33.80%,33.70%,33.80%,27.50%,32.90%,34.90%,41.80%,42.80%,33.80%,33.50%,34.00%,33.80%,33.80%,32.90%,33.80%,33.70%,38.00%,33.80%,36.00%,17.40%
NUBLE,media,Adecuado,17.30%,15.10%,18.00%,61.80%,17.30%,17.40%,15.70%,17.30%,6.90%,10.70%,26.60%,27.40%,34.20%,17.30%,18.70%,15.90%,17.30%,17.40%,13.40%,17.30%,17.30%,19.00%,17.30%,19.20%,3.10%
NUBLE,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
RIOS,media,Insuficiente,53.00%,60.30%,49.40%,11.80%,53.00%,53.90%,46.70%,53.00%,69.80%,54.80%,50.60%,41.70%,14.20%,53.00%,48.30%,58.10%,53.00%,51.80%,57.60%,53.00%,53.00%,54.80%,53.00%,49.70%,80.10%
RIOS,media,Elemental,33.10%,31.00%,34.70%,39.00%,33.10%,32.80%,35.50%,33.10%,25.40%,33.40%,35.60%,39.60%,36.40%,33.10%,34.60%,31.50%,33.10%,33.50%,31.70%,33.10%,33.10%,31.00%,33.10%,34.90%,18.80%
RIOS,media,Adecuado,13.90%,8.70%,15.90%,49.20%,13.90%,13.30%,17.80%,13.90%,4.70%,11.90%,13.90%,18.80%,49.40%,13.90%,17.20%,10.40%,13.90%,14.80%,10.60%,13.90%,13.90%,14.30%,13.90%,15.50%,1.10%
RIOS,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
RM,media,Insuficiente,45.40%,60.00%,48.30%,13.60%,45.40%,45.20%,57.80%,45.40%,73.30%,59.90%,50.30%,34.40%,13.90%,45.40%,41.90%,49.00%,45.30%,44.90%,56.70%,45.30%,43.90%,58.50%,45.30%,43.40%,81.00%
RM,media,Elemental,32.60%,27.40%,34.70%,31.30%,32.60%,32.70%,27.50%,32.60%,22.50%,30.10%,34.50%,38.10%,31.90%,32.60%,33.20%,32.10%,32.70%,32.70%,30.90%,32.70%,33.20%,28.00%,32.70%,33.50%,16.90%
RM,media,Adecuado,22.00%,12.60%,17.00%,55.10%,22.00%,22.10%,14.80%,22.00%,4.20%,10.00%,15.20%,27.60%,54.20%,22.00%,24.90%,18.90%,22.00%,22.40%,12.40%,22.00%,22.90%,13.50%,22.00%,23.10%,2.10%
RM,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
TPCA,media,Insuficiente,53.80%,64.70%,51.20%,18.70%,53.80%,53.40%,55.70%,53.80%,62.20%,61.90%,53.40%,41.50%,18.70%,53.80%,51.10%,56.60%,53.70%,53.80%,53.40%,53.70%,50.50%,67.30%,53.70%,51.80%,81.90%
TPCA,media,Elemental,31.60%,27.10%,33.80%,30.40%,31.60%,31.60%,31.60%,31.60%,30.10%,28.30%,32.60%,37.70%,30.40%,31.60%,32.70%,30.30%,31.60%,31.70%,31.10%,31.60%,33.10%,25.10%,31.60%,32.60%,16.30%
TPCA,media,Adecuado,14.70%,8.20%,15.00%,50.90%,14.70%,15.00%,12.70%,14.70%,7.60%,9.80%,14.10%,20.90%,50.90%,14.70%,16.10%,13.10%,14.70%,14.50%,15.50%,14.70%,16.40%,7.60%,14.70%,15.60%,1.80%
TPCA,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
VALPO,media,Insuficiente,53.20%,71.40%,51.20%,15.90%,53.20%,53.10%,71.70%,53.20%,79.80%,66.80%,55.00%,39.10%,15.60%,53.20%,49.00%,57.60%,53.20%,53.00%,63.60%,53.20%,52.60%,66.90%,53.20%,50.70%,89.00%
VALPO,media,Elemental,31.20%,23.50%,34.20%,34.80%,31.20%,31.20%,20.70%,31.20%,18.00%,26.50%,32.70%,39.30%,34.80%,31.20%,32.40%,29.90%,31.20%,31.20%,30.60%,31.20%,31.50%,24.00%,31.20%,32.60%,10.70%
VALPO,media,Adecuado,15.60%,5.20%,14.60%,49.20%,15.60%,15.70%,7.60%,15.60%,2.20%,6.70%,12.30%,21.70%,49.60%,15.60%,18.70%,12.50%,15.60%,15.80%,5.80%,15.60%,15.90%,9.10%,15.60%,16.70%,0.30%
VALPO,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
TODAS,media,Insuficiente,50.00%,63.40%,48.80%,14.10%,50.00%,49.60%,59.70%,50.00%,70.80%,61.20%,49.60%,35.40%,14.40%,50.00%,46.70%,53.40%,49.90%,49.10%,60.80%,49.90%,49.20%,61.00%,49.90%,47.30%,83.00%
TODAS,media,Elemental,31.70%,27.10%,34.40%,31.90%,31.70%,31.80%,28.80%,31.70%,24.10%,29.40%,34.40%,38.50%,32.40%,31.70%,32.50%,31.00%,31.80%,32.00%,29.00%,31.80%,32.10%,27.20%,31.80%,33.10%,15.10%
TODAS,media,Adecuado,18.30%,9.60%,16.90%,54.00%,18.30%,18.50%,11.50%,18.30%,5.10%,9.40%,16.00%,26.00%,53.20%,18.30%,20.90%,15.60%,18.30%,18.90%,10.20%,18.30%,18.80%,11.90%,18.30%,19.60%,1.90%
TODAS,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%