region,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
ANTOF,ratio docente,19.47,18.12,24.83,14.25,19.47,20.73,5.87,19.59,17.68,20.13,21.23,19.76,14.48
ARAUC,ratio docente,11.3,8.94,13.17,15.07,11.3,14.33,9.07,11.59,9.84,12.07,15.14,17.3,16.18
ATCMA,ratio docente,16.43,15.03,21.64,17.43,16.43,18.12,10.58,16.78,12.48,14.72,18.16,22.44,17.43
AYP,ratio docente,13.72,10.18,20.08,13.41,13.72,17.73,6.05,15.09,12,14.95,16.81,16.67,11.73
AYSEN,ratio docente,10.69,8.64,15.38,,10.69,12.88,7.85,10.96,10.21,8.91,11.86,17.16,16.02
BBIO,ratio docente,11.14,8.48,15.83,15.9,11.14,13.59,6.68,11.7,8.32,10.97,14.49,16.92,16.45
COQ,ratio docente,12.47,9.76,17.07,17.61,12.47,16.56,6.95,13.37,9.13,12.74,15.78,17.91,17.54
LAGOS,ratio docente,11.02,8.52,16.27,15.35,11.02,15.49,7.72,11.49,9.23,11.42,13.73,15.54,16.2
LGBO,ratio docente,13.1,10.72,19.08,15.48,13.1,16.8,9.04,13.41,10.33,12.57,16.1,19.14,15.48
MAG,ratio docente,12.63,10.37,18.03,14.53,12.63,14.28,4.78,13.4,8.06,12.21,13.92,15.26,14.6
MAULE,ratio docente,11.48,9.05,18.75,17.19,11.48,15.57,7.87,11.86,9.51,11.42,15.55,17.9,17.19
NUBLE,ratio docente,8.71,6.56,15.58,15.9,8.71,12.64,5.73,9.23,6.61,9.3,13.13,14.51,17.12
RIOS,ratio docente,10.2,7.88,13.2,13.67,10.2,13.51,7.97,10.98,8.14,11.4,13.38,16.46,14.6
RM,ratio docente,18.41,15.44,21.39,13.72,18.41,18.66,13.83,18.61,16.21,18.08,20.36,21.94,14.23
TPCA,ratio docente,18.46,12.17,24.15,21.8,18.46,22.47,10.8,18.88,15.87,20.3,20.09,18.17,17.29
VALPO,ratio docente,13.56,10.01,17.31,15.45,13.56,14.77,7.28,13.69,8.76,12.04,15.39,17.32,15.61
TODAS,ratio docente,13.69,10.36,18.11,14.68,13.69,16.57,8.07,14.13,9.92,13.54,16.96,19.19,15.04
ANTOF,ratio docente parvularia,22.72,22.96,27.73,14.17,22.72,22.87,9.67,22.88,36.43,24.8,23.53,25.02,14.67
ARAUC,ratio docente parvularia,16.96,15.28,18.2,17.01,16.96,17.79,15.7,17.15,14.77,17.32,19.17,23.58,18.65
ATCMA,ratio docente parvularia,19.25,17.99,22.17,24.56,19.25,19.86,14.9,19.21,13.78,16.14,19.72,22.52,24.56
AYP,ratio docente parvularia,16.97,15.42,19.4,11.68,16.97,17.21,15.26,17.26,17.3,16.15,17.94,20.95,11.68
AYSEN,ratio docente parvularia,13.23,10.83,17.6,,13.23,14.69,10.79,13.51,10.72,11.59,14.3,18.1,31
BBIO,ratio docente parvularia,14,10.5,19.49,14.6,14,15.29,10.08,14.08,10.68,11.57,16.53,22.48,16.21
COQ,ratio docente parvularia,16.47,13.85,20.7,17.96,16.47,16.78,15.54,16.56,12.57,14.28,18.57,22.79,18.35
LAGOS,ratio docente parvularia,16.35,13.54,20.94,15.61,16.35,18.19,13.44,16.4,12.7,15,19.69,21.1,19.43
LGBO,ratio docente parvularia,18.56,16.54,23.27,17.74,18.56,20.97,15.7,18.6,14.94,17.72,21.83,21.4,17.74
MAG,ratio docente parvularia,18.29,16.39,22.43,17.08,18.29,19.63,6.2,18.92,7.5,18.08,19.4,20.11,18.57
MAULE,ratio docente parvularia,15.65,12.75,23.11,19.57,15.65,18.82,12.26,15.73,12.41,14.43,20.07,25.98,19.57
NUBLE,ratio docente parvularia,12.18,10.3,17.41,16.39,12.18,13.99,10.24,12.26,10.03,11.46,15.59,17.59,17.73
RIOS,ratio docente parvularia,16.2,14.44,18.66,15.07,16.2,17.14,14.76,16.52,14.61,15.85,16.58,27.71,16.84
RM,ratio docente parvularia,20.54,19.04,23.43,13.27,20.54,20.64,18.78,20.68,19.68,20.31,23.08,23.76,14.01
TPCA,ratio docente parvularia,22.62,19.95,25.42,17.57,22.62,24.24,19.02,22.78,20.01,25.19,21.44,23.73,17.57
VALPO,ratio docente parvularia,16.9,14.18,20.31,15.3,16.9,17.63,12.6,16.95,11.91,15.02,18.72,22.23,15.51
TODAS,ratio docente parvularia,17.63,14.88,21.51,14.7,17.63,18.84,13.81,17.74,13.92,16.5,20.24,23,15.57
ANTOF,ratio docente basica,20.83,18.8,27.74,14.75,20.83,22.41,5.85,21.02,15.54,23.25,22.55,20.58,15.13
ARAUC,ratio docente basica,11.51,9.44,13.12,16.17,11.51,15.82,8.69,11.86,9.64,12.48,15.84,18.34,17.13
ATCMA,ratio docente basica,16.97,15.24,22.87,17.34,16.97,19.28,9.89,17.26,11.51,14.02,18.94,24.04,17.34
AYP,ratio docente basica,14.15,9.67,21.7,12.46,14.15,18.65,6.25,15.64,11.63,15.46,17.67,17.72,10.97
AYSEN,ratio docente basica,11.72,8.99,18.01,,11.72,14.67,8.19,12.06,10.12,9.5,12.98,22.23,14.56
BBIO,ratio docente basica,11.59,8.52,16.84,17.78,11.59,14.61,6.75,12.25,8.01,11.2,15.02,18.45,18.23
COQ,ratio docente basica,13.4,10.27,18.59,18.7,13.4,18.75,6.71,14.51,9.77,14.19,16.55,19.03,18.27
LAGOS,ratio docente basica,11.31,8.98,15.95,17.56,11.31,17.2,7.52,11.89,8.33,11.69,15.15,16.86,18.2
LGBO,ratio docente basica,13.2,10.27,20.5,16.07,13.2,18.02,8.69,13.56,8.57,12.56,16.53,20.9,16.07
MAG,ratio docente basica,13.37,9.82,19.04,17.97,13.37,15.51,4.79,14.38,5.96,12.21,14.51,15.9,17.4
MAULE,ratio docente basica,11.99,9.56,19.82,17.4,11.99,17.53,7.8,12.43,9.08,12.31,16.34,18.55,17.4
NUBLE,ratio docente basica,8.68,6.3,16.45,20.53,8.68,13.52,5.5,9.25,5.64,9.46,13.41,15.3,21.38
RIOS,ratio docente basica,10.86,8.4,13.93,15.31,10.86,15.97,7.8,11.78,8.08,12.08,15.03,18.08,16.45
RM,ratio docente basica,19.45,15.78,22.89,15.1,19.45,19.78,13.78,19.72,15.75,18.25,22.17,23.54,15.65
TPCA,ratio docente basica,19.59,12.85,25.32,20.23,19.59,24.26,10.37,19.84,14.4,22.85,21.12,18.34,16.11
VALPO,ratio docente basica,14.61,10.06,19.46,15.7,14.61,16.17,7.07,14.77,8.19,12.75,16.76,19.29,15.88
TODAS,ratio docente basica,14.34,10.56,19.22,15.83,14.34,17.97,7.87,14.87,9.36,13.93,18.15,20.64,16.21
ANTOF,ratio docente media,19.18,16.64,23.12,15.04,19.18,19.49,6.13,19.31,19.81,20.81,19.51,21.57,14.83
ARAUC,ratio docente media,14.2,12.44,15.02,15.05,14.2,14.66,11.03,14.23,11.96,13.11,17.32,16.47,16.01
ATCMA,ratio docente media,18.51,15.88,21.34,19.74,18.51,18.55,17,19.73,15.88,17.55,18.4,25.3,19.74
AYP,ratio docente media,16.82,12.74,18.88,18.29,16.82,17.65,10.01,17.1,13.65,15.15,20.17,16,18.29
AYSEN,ratio docente media,11.49,8.79,14.4,,11.49,12.77,7.82,11.49,10.62,7.93,13.06,15.18,15.38
BBIO,ratio docente media,14.3,11.41,16.42,14.76,14.3,14.4,12.71,14.29,11.29,12.85,16.4,16.48,15.02
COQ,ratio docente media,16.92,14.1,17.91,18.4,16.92,17.07,13.08,17.07,13.82,16,17.91,18.31,17.99
LAGOS,ratio docente media,14.86,12.41,17.4,13.41,14.86,15.23,12.67,15.11,13.74,14.89,16.3,17.61,13.86
LGBO,ratio docente media,15.75,13.07,17.52,15.46,15.75,16.05,11.82,15.71,13.26,14.11,17.66,18.9,15.46
MAG,ratio docente media,13.98,11.5,16.97,12.67,13.98,13.98,,13.98,10.69,11.79,14.55,16.21,13.24
MAULE,ratio docente media,15.26,11.51,17.46,17.87,15.26,15.72,12.04,15.26,12.66,13.68,17.39,19.15,17.87
NUBLE,ratio docente media,12.77,10.37,14.52,7.88,12.77,12.82,12.26,12.77,11.23,11.84,15.21,13.62,11.48
RIOS,ratio docente media,12.77,11.6,13.58,12.83,12.77,12.96,11.71,12.77,10.45,12.32,13.69,16.36,12.38
RM,ratio docente media,17.82,14.54,20.35,13.78,17.82,17.84,16.29,17.91,16.91,18.05,19.34,20.99,13.95
TPCA,ratio docente media,21.57,14.98,22.01,37.78,21.57,22.31,16.66,21.57,15.99,19.37,19.73,24.32,37.78
VALPO,ratio docente media,14.15,10.9,15.84,13.22,14.15,14.27,7.5,14.16,10.73,12.95,15.36,15.38,13.21
TODAS,ratio docente media,16.08,12.75,18.16,14.55,16.08,16.3,12.28,16.14,13.1,15.35,17.56,18.85,14.64
ANTOF,ratio docente especial,5.31,4.2,10.33,,5.31,5.31,,5.31,,3.81,7.12,,
ARAUC,ratio docente especial,9.14,6.47,12.19,,9.14,9.29,7,7.84,4.81,8.58,9.49,,
ATCMA,ratio docente especial,3.24,3.27,3,,3.24,3.24,,4.19,,2.94,4.81,,
AYP,ratio docente especial,16.3,,16.3,,16.3,16.3,,16.3,,17.6,15,,
AYSEN,ratio docente especial,11.51,5.36,17.67,,11.51,15.35,0,11.51,,10.71,6.5,22.33,
BBIO,ratio docente especial,6.9,3.91,15.2,,6.9,7.28,3.2,6.9,5.78,6.53,9.72,,
COQ,ratio docente especial,11.78,7.31,13.41,,11.78,11.56,13.25,11.78,9.38,12.14,14.2,0,
LAGOS,ratio docente especial,4.24,4.37,3.25,,4.24,3.83,5.2,4.24,3.73,5.1,1.5,5,
LGBO,ratio docente especial,6.49,6.85,4,,6.49,5.42,14,6.49,2,7.23,7,,
MAG,ratio docente especial,,,,,,,,,,,,,
MAULE,ratio docente especial,10.37,4.09,21.06,,10.37,11.68,7.27,10.46,7.55,16.36,6.26,13,
NUBLE,ratio docente especial,7.69,4.39,18.6,,7.69,8.4,2.34,7.4,3.62,6.76,13.71,18.5,
RIOS,ratio docente especial,6.04,5.26,6.82,,6.04,6.97,0.5,6.04,,5.98,4.89,9.05,
RM,ratio docente especial,16.94,13.69,17.2,,16.94,16.75,20.16,16.93,17.36,17,16.67,16.88,
TPCA,ratio docente especial,25.87,20.13,31.61,,25.87,25.87,,27.28,26,27.6,,,
VALPO,ratio docente especial,13.73,6.11,20.76,,13.73,14.33,6.8,13.88,5.61,12.74,17.28,13.17,
TODAS,ratio docente especial,10.16,5.13,16.42,,10.16,10.61,6.7,10.06,7.37,9.9,11.87,13.74,